id,name,type,display_type,activity_type_display_name,private,bike_id,athlete_gear_id,start_date,start_date_local_raw,start_time,start_day,distance,distance_raw,long_unit,short_unit,moving_time,moving_time_raw,elapsed_time,elapsed_time_raw,trainer,static_map,has_latlng,commute,elevation_gain,elevation_unit,elevation_gain_raw,description,activity_url,activity_url_for_twitter,twitter_msg,is_new,is_changing_type,suffer_score,calories,workout_type,flagged,hide_power,hide_heartrate,leaderboard_opt_out,visibility
551670518,Low Pros So It Lookin' Like I'm Ridin' On Blades,Ride,Ride,Ride,false,,,"Wed, 4/20/2016",1461143238,2016-04-20T16:07:18+0000,Wed,100.39,100393,kilometers,km,3:17:09,11829,3:21:53,12113,false,https://d3o5xota0a1fcr.cloudfront.net/v6/maps/PFMIVDRGGMTOM53W4ADB4YTCQNB27S3W657KPTSVL4ZUXNUK23SZSGNGRCFKLYHQ2POFAQ2JZW73BE576JNDYLAX7PP25QBT,true,false,"1,246",m,1246,,https://www.strava.com/activities/551670518,https://www.strava.com/activities/551670518?utm_content=1464505&utm_medium=referral&utm_source=twitter,went for a 100.3 kilometer Ride.,false,false,,2703.35205078125,,false,false,false,false,everyone
551670444,Who Gon Stop Me,Ride,Ride,Ride,false,,,"Tue, 4/19/2016",1461055809,2016-04-19T15:50:09+0000,Tue,61.05,61053.7,kilometers,km,2:03:52,7432,2:15:30,8130,false,https://d3o5xota0a1fcr.cloudfront.net/v6/maps/FAZ4WEM3XDPAVYUTAA4JHNF7KRO7TLFCIJIWRZEBRE75G22LBBCWFH4O6RPXVLRBZJCJS6VYGBMYESMUPVYXHAZQQBSKZSQR,true,false,527,m,527,,https://www.strava.com/activities/551670444,https://www.strava.com/activities/551670444?utm_content=1464505&utm_medium=referral&utm_source=twitter,went for a 61.0 kilometer Ride.,false,false,,1741.0562744140625,,false,false,false,false,everyone
551670450,Morning Ride,Ride,Ride,Ride,false,,,"Mon, 4/18/2016",1460969878,2016-04-18T15:57:58+0000,Mon,45.03,45031.2,kilometers,km,1:26:47,5207,1:30:05,5405,false,https://d3o5xota0a1fcr.cloudfront.net/v6/maps/HELR3JD6DANR2UKHK3BVFMCOGLYVVRPCYKS4VXH7HI3AKJNJUQGVZ5Z5H55ZYBHG5UI73VK7PXY4IIEOMHWOMSGMB4WZ7FMG,true,false,549,m,549,,https://www.strava.com/activities/551670450,https://www.strava.com/activities/551670450?utm_content=1464505&utm_medium=referral&utm_source=twitter,went for a 45.0 kilometer Ride.,false,false,,1328.1243896484375,,false,false,false,false,everyone
548570151,Morning Ride,Ride,Ride,Ride,false,,,"Fri, 4/15/2016",1460708673,2016-04-15T15:24:33+0000,Fri,41.81,41811.7,kilometers,km,1:20:23,4823,1:51:18,6678,false,https://d3o5xota0a1fcr.cloudfront.net/v6/maps/LO3LTLPNLCNTWSAH3VACGNVCPIRI4SOCC4CSHRVE7MDG7CSUN3SFELFEDGZYVMUP5KGWFRE64HIDCG6UIJA5TI3CG6ZO3BDI,true,false,393,m,393.2,,https://www.strava.com/activities/548570151,https://www.strava.com/activities/548570151?utm_content=1464505&utm_medium=referral&utm_source=twitter,went for a 41.8 kilometer Ride.,false,false,,1144.282191325,,false,false,false,false,everyone
545448870,Name One Genius That Ain't Crazy,Ride,Ride,Ride,false,,,"Thu, 4/14/2016",1460626106,2016-04-14T16:28:26+0000,Thu,63.32,63321.7,kilometers,km,2:17:47,8267,2:22:18,8538,false,https://d3o5xota0a1fcr.cloudfront.net/v6/maps/HIVV6L3BWIATRKIFOIYU3E3MLGXMNS5FAS2DG5WWYGWAJSRTCAQ3JVOPXFWXCMRAYH4ZGGLOWEDQNVXDBUU5EKUJSYDWDBPB,true,false,850,m,850,,https://www.strava.com/activities/545448870,https://www.strava.com/activities/545448870?utm_content=1464505&utm_medium=referral&utm_source=twitter,went for a 63.3 kilometer Ride.,false,false,,1812.412841796875,,false,false,false,false,everyone
544412258,Actin' Brave And Courageous Ain't Advantageous For Health And Safety,Ride,Ride,Ride,false,,,"Wed, 4/13/2016",1460534846,2016-04-13T15:07:26+0000,Wed,81.92,81923.8,kilometers,km,3:11:18,11478,3:18:35,11915,false,https://d3o5xota0a1fcr.cloudfront.net/v6/maps/QWZYGZIH7HHIX6WXNW2674LBHTW7EM5ZZ43IJ2BE3VRNZFGEKLNZ4V7L7T2ZIZBNAHC5H23JQIQ3EKC5BVKHY656OCDETWQ4,true,false,"1,490",m,1490,,https://www.strava.com/activities/544412258,https://www.strava.com/activities/544412258?utm_content=1464505&utm_medium=referral&utm_source=twitter,went for a 81.9 kilometer Ride.,false,false,,2459.68024821,,false,false,false,false,everyone
544412052,Morning Ride,Ride,Ride,Ride,false,,,"Tue, 4/12/2016",1460453641,2016-04-12T16:34:01+0000,Tue,15.35,15352,kilometers,km,33:51,2031,56:34,3394,false,https://d3o5xota0a1fcr.cloudfront.net/v6/maps/GK543Z25M47QRESBG5PUELF3KGYEU2EKZBIX6BTMDG45U7RHMP2GAAMY3QGLODL5AOCTQZYXDPOGVD3PTFQEJBT5B2RI5KZN,true,false,140,m,140,,https://www.strava.com/activities/544412052,https://www.strava.com/activities/544412052?utm_content=1464505&utm_medium=referral&utm_source=twitter,went for a 15.3 kilometer Ride.,false,false,,348.82452392578125,,false,false,false,false,everyone
542568271,Condo On My Wrist Was Never Really A Goal Of Mine,Ride,Ride,Ride,false,,,"Mon, 4/11/2016",1460362837,2016-04-11T15:20:37+0000,Mon,139.38,139388,kilometers,km,4:32:07,16327,4:44:52,17092,false,https://d3o5xota0a1fcr.cloudfront.net/v6/maps/4WFVM7TEN252VH6KO2I4TBPAO3BSHR6NXR2XBVVPCQ2CF7N64YIOCGMMTNYM44LZDPOSHCAPSIGKIKK366FGHTYR4XS2SEQ4,true,false,"1,278",m,1278,,https://www.strava.com/activities/542568271,https://www.strava.com/activities/542568271?utm_content=1464505&utm_medium=referral&utm_source=twitter,went for a 139.3 kilometer Ride.,false,false,,4039.765625,,false,false,false,false,everyone
541703680,"If You Don't Wanna Struggle, You Better Work That Muscle",Ride,Ride,Ride,false,,,"Sun, 4/10/2016",1460277943,2016-04-10T15:45:43+0000,Sun,103.36,103364,kilometers,km,3:20:52,12052,4:08:59,14939,false,https://d3o5xota0a1fcr.cloudfront.net/v6/maps/MSYSG6CBJO3GVS7MQNHDV2I4572BP2U7OC4N37QWX57DHD2UVHULFVXKWUIDC3KR4XOZ27IRUK2YMJXYYX7JWP6HY3CQJQKS,true,false,"1,734",m,1734,,https://www.strava.com/activities/541703680,https://www.strava.com/activities/541703680?utm_content=1464505&utm_medium=referral&utm_source=twitter,went for a 103.3 kilometer Ride.,false,false,,2928.606201171875,,false,false,false,false,everyone
540463074,"Threw Suicides On The Private Jet, You Know What That Mean I'm Fly Till Death",Ride,Ride,Ride,false,,,"Sat, 4/9/2016",1460190607,2016-04-09T15:30:07+0000,Sat,119.50,119504,kilometers,km,3:38:22,13102,4:00:49,14449,false,https://d3o5xota0a1fcr.cloudfront.net/v6/maps/XRU55UBOPLGGA3O4KMGTSBFA4HV75BAGJ7OL6PPJGNYQYRI427XSWJ7IHWLX3LO6G63ZRNHGAGSGTVFNWHXBHFYLKQRCWHE5,true,false,"1,046",m,1046,,https://www.strava.com/activities/540463074,https://www.strava.com/activities/540463074?utm_content=1464505&utm_medium=referral&utm_source=twitter,went for a 119.5 kilometer Ride.,false,false,,3000.00496661,,false,false,false,false,everyone
